T,µB,µQ,µS,p/T^4,s/T^3,nB/T^3,nS/T^3,nQ/T^3,ε/T^4,cs2,chiBB/T^2,chiQQ/T^2,chiSS/T^2,chiBQ/T^2,chiBS/T^2,chiQS/T^2,chiTB/T^2,chiTQ/T^2,chiTS/T^2,chiTT/T^2
5,-200,-200,600,1.80432083e+06,4.07262664e+04,-1.88237504e+05,5.36128845e+05,1.59653838e+05,6.37152134e+07,4.49889718e-02,1.23818609e+04,9.70611265e+03,9.80580067e+04,-9.70611265e+03,-3.44698344e+04,2.91183379e+04,-1.04909455e+03,7.39268470e+02,2.83745756e+03,4.06629658e+04
5,-200,-200,800,2.28068238e+08,4.94300875e+05,-6.13478136e+06,1.68713625e+07,4.85544236e+06,2.52301762e+09,9.50914891e-02,1.50121743e+05,1.11445237e+05,1.09289039e+06,-1.10012287e+05,-3.98437581e+05,3.19651619e+05,-1.18871525e+04,8.64646996e+03,3.12078745e+04,4.92519098e+05
5,-200,0,-800,6.87982691e+07,1.53512507e+05,2.01540090e+06,-5.98903536e+06,-1.98681723e+06,8.08984865e+08,1.06405039e-01,4.66949248e+04,4.40191766e+04,3.93496841e+05,-4.40191766e+04,-1.34733278e+05,1.29381782e+05,2.10858098e+03,-1.79875499e+03,-5.70609096e+03,1.53496228e+05
5,-200,0,-600,1.92704893e-01,7.81163003e-01,7.95918500e-04,-2.38775550e-03,-7.95918500e-04,8.43152030e-01,nan,7.95918358e-04,7.95918378e-04,7.16326522e-03,-7.95918358e-04,-2.38775507e-03,2.38775507e-03,1.27311830e-02,-1.27311830e-02,-3.81935490e-02,2.50775325e+00
5,-200,0,-400,1.91909844e-01,7.67654439e-01,6.10329156e-56,-8.69680486e-07,-4.34840243e-07,5.75814170e-01,3.33296766e-01,6.10330199e-56,4.34860548e-07,8.69680488e-07,-6.10305781e-56,-1.83094176e-55,4.34840244e-07,8.30024968e-54,-8.83542619e-06,-1.76708524e-05,2.30326811e+00
5,-200,0,-200,1.91908974e-01,7.67635899e-01,-5.21318330e-62,-3.69471079e-24,-1.84735539e-24,5.75726924e-01,3.33333330e-01,5.21318330e-62,2.03035892e-11,3.69471079e-24,2.60659165e-62,-2.76034658e-94,1.84735539e-24,-7.77337457e-60,-1.11430236e-22,-2.22860472e-22,2.30290772e+00
5,-200,0,0,1.91908974e-01,7.67635899e-01,-5.21318330e-62,1.24044243e-77,-2.60659165e-62,5.75726924e-01,3.33333330e-01,5.21318330e-62,2.03035892e-11,3.13928806e-41,2.60659165e-62,-1.24044243e-77,1.56964403e-41,-7.77337457e-60,-3.88668728e-60,2.29045691e-75,2.30290772e+00
5,-200,0,200,1.91908974e-01,7.67635899e-01,-7.69915085e-60,3.69471079e-24,1.84735539e-24,5.75726924e-01,3.33333330e-01,7.69915085e-60,2.03035892e-11,3.69471079e-24,-2.33753423e-60,-1.23742193e-59,1.84735539e-24,-1.11607070e-57,1.11430236e-22,2.22860472e-22,2.30290772e+00
5,-200,0,400,1.91909844e-01,7.67654439e-01,-3.38160627e-21,8.69680486e-07,4.34840243e-07,5.75814170e-01,3.33296766e-01,3.38160627e-21,4.34860548e-07,8.69680488e-07,-3.38147531e-21,-1.01445569e-20,4.34840244e-07,-1.89357421e-19,8.83542619e-06,1.76708524e-05,2.30326811e+00
5,-200,0,600,1.83811576e+07,7.69350431e+04,-7.70585143e+05,2.25458810e+06,7.42001477e+05,2.83069755e+08,9.61393486e-02,2.32942812e+04,2.06185330e+04,1.82891049e+05,-2.06185330e+04,-6.45313471e+04,5.91798507e+04,-1.90896846e+03,1.59914237e+03,5.10725320e+03,7.89330263e+04
5,-200,0,800,5.45970334e+08,9.65366431e+05,-1.33367722e+07,3.74573004e+07,1.20602641e+07,5.98163398e+09,9.59214416e-02,2.92029950e+05,2.53353444e+05,2.24150449e+06,-2.53353444e+05,-7.98736839e+05,7.21383826e+05,-1.22889892e+04,1.02901695e+04,3.28693282e+04,9.62415711e+05
5,-200,200,-800,1.81926627e+07,6.81361473e+04,7.42001477e+05,-2.19742077e+06,-7.13417811e+05,2.75246024e+08,9.77172714e-02,2.06185330e+04,1.79427848e+04,1.72188056e+05,-1.79427848e+04,-5.91798507e+04,5.38283543e+04,1.59914237e+03,-1.28931629e+03,-4.48760112e+03,7.01622068e+04
5,-200,200,-600,1.91909409e-01,7.67645168e-01,3.38147531e-21,-4.34840243e-07,-4.34840243e-07,5.75770546e-01,3.33315320e-01,3.38147531e-21,4.34840244e-07,4.34840244e-07,-3.38134436e-21,-1.01442950e-20,4.34840244e-07,1.89348894e-19,-8.83542619e-06,-8.83542619e-06,2.30308790e+00
5,-200,200,-400,1.91909409e-01,7.67645168e-01,2.33753550e-60,-4.34840243e-07,-1.84739852e-24,5.75770546e-01,3.33315049e-01,2.38966734e-60,1.84739852e-24,4.34840244e-07,1.27384788e-66,-4.72720156e-60,1.84735539e-24,3.39088646e-58,-1.11433219e-22,-8.83542619e-06,2.30308790e+00
5,-200,200,-200,1.91908974e-01,7.67635898e-01,-2.60659170e-62,-1.84735539e-24,-4.31284199e-29,5.75726924e-01,3.33333332e-01,2.60659170e-62,4.31284199e-29,1.84735539e-24,-5.35731961e-70,-1.08280682e-83,1.56964403e-41,-3.88668737e-60,-2.98299983e-27,-1.11430236e-22,2.30290770e+00
5,-200,200,0,1.91908974e-01,7.67635898e-01,-2.60671914e-62,1.84735539e-24,1.84731226e-24,5.75726924e-01,3.33333332e-01,2.60671914e-62,1.84739852e-24,1.84735539e-24,-1.27491960e-66,-1.27438387e-66,1.84735539e-24,-3.88689050e-60,1.11427253e-22,1.11430236e-22,2.30290770e+00
5,-200,200,200,1.91909409e-01,7.67645168e-01,-5.56356951e-43,4.34840243e-07,4.34840243e-07,5.75770546e-01,nan,5.56356951e-43,4.34840244e-07,4.34840244e-07,-5.56356951e-43,-1.11271360e-42,4.34840244e-07,-5.84770622e-41,8.83542619e-06,8.83542619e-06,2.30308790e+00
5,-200,200,400,1.92705359e-01,7.81173077e-01,-7.95949326e-04,2.38825199e-03,7.95949326e-04,8.43203824e-01,nan,7.95949183e-04,7.95949183e-04,7.16382336e-03,-7.95949183e-04,-2.38781672e-03,2.38781672e-03,-1.27319569e-02,1.27319569e-02,3.82039323e-02,2.50795291e+00
